,Nom,Artiste,Genre,Annee,Paroles
0,As It Was,Harry Styles,pop,2022,"[Intro]   Come on   Harry   we wanna say goodnight to you         [Verse 1]   Holdin' me back   Gravity's holdin' me back   I want you to hold out the palm of your hand   Why don't we leave it at that?   Nothin' to say      When everything gets in the way   Seems you cannot be replaced   And I'm the one who will stay   oh-oh-oh   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus]   In this world   it's just us   You know it's not the same as it was      In this world   it's just us   You know it's not the same as it was      As it was   as it was   You know it's not the same      [Verse 2]   Answer the phone   ""Harry   you're no good alone   Why are you sitting at home on the floor?   What kind of pills are you on?""      Ringin' the bell   And nobody's coming to help   Your daddy lives by himself      He just wants to know that you're well   oh-oh-oh      [Chorus]   In this world   it's just us   You know it's not the same as it was      In this world   it's just us   You know it's not the same as it was      As it was   as it was   You know it's not the same"
1,Heat Waves,Glass Animals,pop,2022,[Intro]   (Last night   all I think about is you)   (Don't stop   baby   you can walk through)   (Don't want   baby   think about you)   (You know that I'm never gonna lose)   Road shimmer wigglin' the vision   Heat   heat waves   I'm swimmin' in a mirror   Road shimmer wigglin' the vision   Heat   heat waves   I'm swimmin' in a—         [Chorus]   Sometimes   all I think about is you   Late nights in the middle of June      Heat waves been fakin' me out      Can't make you happier now      Sometimes   all I think about is you   Late nights in the middle of June      Heat waves been fakin' me out      Can't make you happier now   Glass Animals “Heat Wave' Official Lyrics & Meaning | Verified                                 [Verse 1]   Usually   I put somethin' on TV   So we never think about you and me   But today   I see our reflections clearly   In Hollywood   layin' on the screen      You just need a better life than this   You need somethin' I can never give      Fake water all across the road      It's gone now   the night has come   but         [Chorus]   Sometimes   all I think about is you   Late nights in the middle of June      Heat waves been fakin' me out      Can't make you happier now      [Verse 2]   You can't fight it   you can't breathe      You say somethin' so lovin'   but   Now I gotta let you go   You'll be better off in someone new   I don't wanna be alone   You know it hurts me too   You look so broken when you cry   One more and then I say goodbye
2,STAY (with Justin Bieber),The Kid LAROI,hip hop,2022,[Chorus: The Kid LAROI]   I do the same thing I told you that I never would   I told you I'd change   even when I knew I never could   I know that I can’t find nobody else as good as you   I need you to stay   need you to stay   hey (Oh)      [Verse 1: The Kid LAROI]   I get drunk   wake up   I'm wasted still   I realize the time that I wasted here   I feel like you can't feel the way I feel   Oh   I’ll be fucked up if you can't be right here   Is0kenny “Speak Up” Official Lyrics & Meaning | Verified                                 [Pre-Chorus: The Kid LAROI]   Oh   ooh-woah (Oh   ooh-woah   ooh-woah)   Oh   ooh-woah (Oh   ooh-woah   ooh-woah)   Oh   ooh-woah (Oh   ooh-woah   ooh-woah)   Oh   I'll be fucked up if you can't be right here      [Chorus: The Kid LAROI]   I do the same thing I told you that I never would   I told you I'd change   even when I knew I never could   I know that I can't find nobody else as good as you   I need you to stay   need you to stay   hey   I do the same thing I told you that I never would   I told you I'd change   even when I knew I never could   I know that I can't find nobody else as good as you   I need you to stay   need you to stay   hey      [Verse 2: Justin Bieber]   When I’m away from you   I miss your touch (Ooh)   You’re the reason I believe in love   It's been difficult for me to trust (Ooh)   And I’m afraid that I'ma fuck it up   Ain't no way that I can leave you stranded   'Cause you ain’t ever left me empty-handed      And you know that I know that I can't live without you   So   baby   stay
3,Me Porto Bonito,Bad Bunny,reggae,2022,"[Letra de ""Me Porto Bonito""]      [Intro: Bad Bunny & Chencho Corleone]   Yeah-yeah-yeah-yeah-yeah-yeah   ey   En la guagua se quedó el olor de tu perfume   Tú ere' una bellaca   yo soy un bellaco   eso e' lo que no' une   Ella sabe que está buenota y no la presumen   Si yo fuera tu gato   subiera una foto los vierne' y los lune' (So)      [Coro: Chencho Corleone & Bad Bunny]   Pa' que to' el mundo vea lo rica que tú está'   que tú está'   Contigo tengo que apretar   Y еn la calle ando suelto   pero por ti mе quito   Si tú me lo pide'   yo me porto bonito   Y subo un selfie pa' que vean lo rica que tú está'   que tú está'   Las otras tienen que apretar   En la calle ando suelto   pero por ti me quito   Si tú me lo pide'   yo me porto bonito (Ey   ey)   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verso 1: Bad Bunny]   Tú no ere' bebecita   tú ere' bebesota   Frikitona   ma'   se te nota      Le gustan los trío' cuando está en la nota   Si el novio no sirve   de una lo bota   Y wow   mami   dime dónde dejo el résume (Résume)   Sé que te dejaste hace un me' (Ey   ey)   Y de una de pecho me zumbé   Si quiere' te hago un bebé o te traigo la plan B      Uff   mami   qué rica tú te ve'   Pa' los 2000 escuchaba RBD   Y ahora quiere perreo   to'a la noche en la pared   THC   no CBD         [Verso 2: Chencho Corleone & Bad Bunny]   Mami   tú ere' élite (Ey)   no te me limite' (Okey)   Déjame hacerte lo que amerite y te levite   Dale pa'l escondite (Ey)   no te me arisque' (So)   Que aquí no va a poder llegar lo' satélite' (Oh)   Mami   sube algo   dame contenido   Ese culo súbelo má' seguido   Me paso jangueando   a ver si coincido   ey   Y por fin doy contigo   Mai   nuestra' bellaquera' nunca la' olvido   Ninguna como tú a mí me ha complacido   Tú cree' que a toda' siempre les digo lo mismo   Quiere chingar   pero no quiere na' fijo   ey   Pero en confianza me confiesa   Dice que nadie le interesa   Pero cuando sale   se pone traviesa (Ey)"
4,Tití Me Preguntó,Bad Bunny,reggae,2022,"[Letra de ""Tití Me Preguntó""]      [Intro: Bad Bunny]   Ey      [Coro: Bad Bunny]   Tití me preguntó si tengo mucha' novia'   mucha' novia'   Hoy tengo a una   mañana otra   ey   pero no hay boda   Tití me preguntó si tengo mucha' novia'   je   mucha' novia'   Hoy tengo a una   mañana otra   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Refrán: Bad Bunny]   Me la' vo'a llevar a to'a pa' un VIP   un VIP   ey   Saluden a Tití   Vamo' a tirarno' un selfie   say ""cheese""   ey   Que sonrían las que ya les metí   En un VIP   un VIP   ey   Saluden a Tití   Vamo' a tirarno' un selfie   say ""cheese""   Que sonrían las que ya se olvidaron de mí      [Verso 1: Bad Bunny]   Me gustan mucho las Gabriela      Las Patricia   las Nicole   las Sofía   Mi primera novia en kinder   María   Y mi primer amor se llamaba Thalía   Tengo una colombiana que mе escribe to' los día'   Y una mexicana quе ni yo sabía   Otra en San Antonio que me quiere todavía   Y las de PR que todita' son mía'   Una dominicana que es uva bombón   Uva   uva bombón      La de Barcelona que vino en avión   Y dice que mi bicho está cabrón   Yo dejo que jueguen con mi corazón   Quisiera mudarme con toda' pa' una mansión   El día que me case te envío la invitación   Muchacho   deja eso   ey"
5,Cold Heart - PNAU Remix,Elton John,rock,2022,Unknown
6,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,rock,2022,[Intro: Dan Reynolds]   Look out for yourself      [Verse 1: Dan Reynolds]   I wake up to the sounds of the silence that allows   For my mind to run around   with my ear up to the ground      I'm searchin' to behold the stories that are told   When my back is to the world that was smilin' when I turned         [Pre-Chorus: Dan Reynolds]   Tell you you're the greatest   But once you turn   they hate us   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus: Dan Reynolds]   Oh   the misery   Everybody wants to be my enemy      Spare the sympathy   Everybody wants to be my enemy-y-y-y-y   (Look out for yourself)   My enemy-y-y-y-y (Look   look   look   look)   (Look out for yourself)   But I'm ready      [Verse 2: Dan Reynolds]   Your words up on thе wall as you're prayin' for my fall   And the laughter in thе halls and the names that I've been called   I stack it in my mind   and I'm waitin' for the time   When I show you what it's like to be words spit in a mic      [Pre-Chorus: Dan Reynolds]   Tell you you're the greatest   But once you turn   they hate us (Ha)         [Chorus: Dan Reynolds & JID]   Oh   the misery   Everybody wants to be my enemy   Spare the sympathy   Everybody wants to be my enemy-y-y-y-y (Look   look   look   look)   (Look out for yourself)   My enemy-y-y-y-y (Look   look   look   look; yeah)   (Look out for yourself)   Uh   look   okay
7,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,hip hop,2022,Unknown
8,Ojitos Lindos,Bad Bunny,reggae,2022,"[Letra de ""Ojitos Lindos""]      [Verso 1: Li Saumet]   Hace mucho tiempo le hago caso al corazón   Y pasan los día'   los mese’ pensando en tu olor (En tu olor   en tu olor)   Ha llegado el tiempo para usar la razón   Ante' que sea tarde y sin querer me parta en do' (Parta en do’)      [Pre-Coro: Li Saumet]   Ante' de que salga el sol   hunde el acelerador   Aunque vaya sin freno' y pierda el control   Nada má' seremos do'   tú y yo acariciándono'   En medio del tiempo   sin decir adió'   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Coro: Li Saumet]   Y solo mírame (Mírame) con esos ojito' lindo’ (Lindo’)   Que con еso yo estoy bien (-toy bien)   hoy hе vuelto a nacer (Nacer)      [Verso 2: Bad Bunny]   Hace tiempo (Tiempo) que no agarro a nadie de la mano (Mano)   Hace tiempo (Tiempo) que no envío ""Buenos días   te amo"" (Te amo)   Pero   tú me tiene' enreda’o (Enreda'o)   me envolví (Envolví)   Iba por mi camino y me perdí (Ey   ey)   Mi mirada cambió cuando tus ojos vi (Tus ojos vi)   Bye-bye a los culo'   ni me despedí   Yo no te busqué (-qué)   no (No)   chocamo' en el trayecto   Con tu alma es la que yo conecto (-necto)   Tranquila   no tiene que ser perfecto   no   Aquí no existe el pecado (-cado) y equivocarse es bonito   Los errore’ son placere' (-cere')   igual que to' tus besito'      [Coro: Li Saumet   Bad Bunny & Li Saumet]   Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')   Que con eso yo estoy bien (-toy bien)   hoy he vuelto a nacer (Nacer)   Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')   Que con eso yo estoy bien (-toy bien)   hoy he vuelto a nacer (Nacer)      [Interludio: Li Saumet & Bad Bunny]   Tú y yo   tú y yo   tú y yo   Tú y yo   tú y yo   Tú y yo   tú y yo   tú y yo   Tú y yo   tú y yo   Tú y yo   tú y yo   Tú y yo   tú y yo"
9,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,pop,2022,Unknown
